episode,score
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,1
46,1
47,0
48,0
49,0
50,1
51,0
52,0
53,1
54,0
55,0
56,1
57,0
58,0
59,0
60,0
61,1
62,0
63,2
64,0
65,0
66,0
67,0
68,1
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,2
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,1
100,1
101,0
102,0
103,0
104,1
105,0
106,0
107,1
108,1
109,1
110,0
111,0
112,0
113,1
114,0
115,0
116,0
117,1
118,0
119,0
120,1
121,0
122,0
123,0
124,1
125,0
126,1
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,2
137,0
138,1
139,0
140,1
141,0
142,1
143,1
144,0
145,1
146,2
147,0
148,1
149,0
150,0
151,0
152,0
153,1
154,1
155,0
156,1
157,0
158,1
159,2
160,1
161,0
162,1
163,1
164,1
165,1
166,2
167,4
168,1
169,0
170,1
171,1
172,0
173,2
174,1
175,0
176,3
177,3
178,0
179,0
180,1
181,1
182,2
183,1
184,1
185,1
186,0
187,3
188,2
189,1
190,0
191,2
192,0
193,0
194,0
195,4
196,1
197,2
198,1
199,1
200,2
201,0
202,1
203,1
204,0
205,1
206,1
207,0
208,1
209,0
210,0
211,1
212,0
213,0
214,1
215,1
216,1
217,1
218,0
219,1
220,1
221,0
222,2
223,0
224,1
225,0
226,1
227,5
228,9
229,2
230,0
231,0
232,0
233,0
234,1
235,0
236,0
237,3
238,0
239,1
240,1
241,1
242,1
243,3
244,2
245,2
246,3
247,2
248,1
249,6
250,2
251,1
252,0
253,2
254,5
255,2
256,5
257,0
258,1
259,2
260,3
261,2
262,5
263,1
264,0
265,2
266,3
267,2
268,3
269,2
270,1
271,5
272,0
273,0
274,1
275,3
276,0
277,5
278,5
279,2
280,6
281,1
282,1
283,0
284,2
285,1
286,4
287,2
288,1
289,2
290,2
291,0
292,3
293,5
294,1
295,1
296,4
297,0
298,0
299,1
300,3
301,0
302,1
303,1
304,2
305,0
306,2
307,3
308,0
309,0
310,3
311,1
312,4
313,1
314,3
315,3
316,4
317,1
318,3
319,0
320,1
321,0
322,2
323,0
324,7
325,1
326,1
327,1
328,4
329,2
330,2
331,0
332,5
333,2
334,2
335,2
336,1
337,0
338,2
339,3
340,1
341,4
342,1
343,6
344,0
345,0
346,1
347,2
348,1
349,8
350,0
351,2
352,3
353,1
354,0
355,5
356,0
357,9
358,3
359,0
360,4
361,2
362,2
363,5
364,1
365,0
366,2
367,9
368,2
369,4
370,0
371,3
372,2
373,1
374,0
375,13
376,2
377,3
378,0
379,4
380,0
381,7
382,2
383,14
384,1
385,4
386,3
387,2
388,1
389,8
390,3
391,0
392,1
393,0
394,1
395,0
396,1
397,2
398,3
399,3
400,0
401,7
402,2
403,4
404,5
405,0
406,4
407,12
408,8
409,2
410,6
411,2
412,5
413,1
414,3
415,2
416,3
417,1
418,4
419,1
420,8
421,0
422,0
423,1
424,3
425,1
426,6
427,9
428,9
429,6
430,5
431,0
432,0
433,2
434,3
435,3
436,7
437,3
438,4
439,9
440,9
441,8
442,3
443,0
444,0
445,0
446,7
447,0
448,2
449,1
450,2
451,2
452,0
453,6
454,3
455,0
456,2
457,5
458,5
459,5
460,3
461,0
462,2
463,19
464,1
465,0
466,0
467,5
468,3
469,8
470,1
471,9
472,9
473,2
474,2
475,3
476,7
477,2
478,9
479,7
480,5
481,15
482,9
483,1
484,1
485,2
486,2
487,1
488,9
489,10
490,0
491,1
492,0
493,6
494,3
495,2
496,2
497,3
498,2
499,10
500,3
501,3
502,9
503,0
504,5
505,20
506,5
507,7
508,4
509,3
510,12
511,3
512,5
513,10
514,18
515,4
516,2
517,1
518,6
519,6
520,19
521,4
522,9
523,4
524,2
525,5
526,13
527,20
528,8
529,5
530,8
531,3
532,10
